ID,Derece,Puan Türü,Üniversite Adı,Bölüm Adı,Fakülte / MYO,Öğretim Dili,Burs / Ücret Statüsü,Şehir,Ulaşım Açıklaması,Kişisel Puan (1-10),Notlar
11,Lisans (4Y),SAY,İSTANBUL TOPKAPI ÜNİVERSİTESİ (Vakıf),Bilişim Sistemleri Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Vakıf (Burslu),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,3,-
12,Lisans (4Y),SAY,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,Bilişim Sistemleri Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Muğla,Muğla yerleşkesi ulaşımı rahat.,9,-
13,Lisans (4Y),SAY,BARTIN ÜNİVERSİTESİ,Bilgisayar Teknolojisi ve Bilişim Sistemleri,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Bartın,Bartın yerleşkesi ulaşımı rahat.,4,-
14,Lisans (4Y),SAY,MERSİN ÜNİVERSİTESİ,Bilişim Sistemleri ve Teknolojileri,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Mersin,Mersin yerleşkesi ulaşımı rahat.,4,-
15,Lisans (4Y),SAY,Niğde Ömer Halisdemir Üniversitesi,Bilişim Sistemleri ve Teknolojileri,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Niğde,Niğde yerleşkesi ulaşımı rahat.,3,-
16,Lisans (4Y),SAY,GÜMÜŞHANE ÜNİVERSİTESİ,Yazılım Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Gümüşhane,Gümüşhane yerleşkesi ulaşımı rahat.,3,-
17,Lisans (4Y),SAY,IĞDIR ÜNİVERSİTESİ,Yazılım Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Iğdır,Iğdır yerleşkesi ulaşımı rahat.,3,-
18,Lisans (4Y),SAY,KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ,Yazılım Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Kahramanmaraş,Kahramanmaraş yerleşkesi ulaşımı rahat.,3,-
19,Lisans (4Y),SAY,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,Yazılım Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Kütahya,Kütahya yerleşkesi ulaşımı rahat.,6,-
20,Lisans (4Y),SAY,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,Yazılım Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Burdur,Burdur yerleşkesi ulaşımı rahat.,4,-
21,Lisans (4Y),SAY,YAKIN DOĞU ÜNİVERSİTESİ,Yazılım Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),KKTC,KKTC yerleşkesi ulaşımı rahat.,4,-
22,Lisans (4Y),SAY,KARABÜK ÜNİVERSİTESİ,Yazılım Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Karabük,Karabük yerleşkesi ulaşımı rahat.,6,-
23,Lisans (4Y),SAY,KIRGIZİSTAN-TÜRKİYE MANAS ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Kırgızistan,Kırgızistan yerleşkesi ulaşımı rahat.,3,-
24,Lisans (4Y),SAY,TÜRK-KAZAK ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Kazakistan,Kazakistan yerleşkesi ulaşımı rahat.,3,-
25,Lisans (4Y),SAY,GİRNE AMERİKAN ÜNİVERSİTESİ( Vakıf),Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Vakıf (Burslu),KKTC,KKTC yerleşkesi ulaşımı rahat.,4,-
26,Lisans (4Y),SAY,LEFKE AVRUPA ÜNİVERSİTESİ (Vakıf),Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Vakıf (Burslu),KKTC,KKTC yerleşkesi ulaşımı rahat.,4,-
27,Lisans (4Y),SAY,BİNGÖL ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Bingöl,Bingöl yerleşkesi ulaşımı rahat.,4,-
28,Lisans (4Y),SAY,OSMANİYE KORKUT ATA ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Osmaniye,Osmaniye yerleşkesi ulaşımı rahat.,4,-
29,Lisans (4Y),SAY,HARRAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Şanlıurfa,Şanlıurfa yerleşkesi ulaşımı rahat.,4,-
30,Lisans (4Y),SAY,ADIYAMAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Adıyaman,Adıyaman yerleşkesi ulaşımı rahat.,3,-
31,Lisans (4Y),SAY,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Erzincan,Erzincan yerleşkesi ulaşımı rahat.,3,-
32,Lisans (4Y),SAY,ARTVİN ÇORUH ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Artvin,Artvin yerleşkesi ulaşımı rahat.,3,-
33,Lisans (4Y),SAY,MARDİN ARTUKLU ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Mardin,Mardin yerleşkesi ulaşımı rahat.,3,-
34,Lisans (4Y),SAY,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Kahramanmaraş,Kahramanmaraş yerleşkesi ulaşımı rahat.,3,-
35,Lisans (4Y),SAY,MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Malatya,Malatya yerleşkesi ulaşımı rahat.,3,-
36,Lisans (4Y),SAY,KARABÜK ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Karabük,Karabük yerleşkesi ulaşımı rahat.,6,-
37,Lisans (4Y),SAY,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Tokat,Tokat yerleşkesi ulaşımı rahat.,4,-
38,Lisans (4Y),SAY,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Çankırı,Çankırı yerleşkesi ulaşımı rahat.,4,-
39,Lisans (4Y),SAY,GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Gaziantep,Gaziantep yerleşkesi ulaşımı rahat.,6,-
40,Lisans (4Y),SAY,İSKENDERUN TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Hatay,Hatay yerleşkesi ulaşımı rahat.,3,-
41,Lisans (4Y),SAY,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Kırşehir,Kırşehir yerleşkesi ulaşımı rahat.,4,-
42,Lisans (4Y),SAY,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTES,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Niğde,Niğde yerleşkesi ulaşımı rahat.,4,-
43,Lisans (4Y),SAY,GİRESUN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Giresun,Giresun yerleşkesi ulaşımı rahat.,4,-
44,Lisans (4Y),SAY,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Rize,Rize yerleşkesi ulaşımı rahat.,3,-
45,Lisans (4Y),SAY,KASTAMONU ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Kastamonu,Kastamonu yerleşkesi ulaşımı rahat.,4,-
46,Lisans (4Y),SAY,BARTIN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Bartın,Bartın yerleşkesi ulaşımı rahat.,4,-
47,Lisans (4Y),SAY,AMASYA ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Amasya,Amasya yerleşkesi ulaşımı rahat.,4,-
48,Lisans (4Y),SAY,KAYSERİ ÜNİVERSİTESİ,Yapay Zeka ve Makine Öğrenmesi,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Kayseri,Kayseri yerleşkesi ulaşımı rahat.,6,-
49,Lisans (4Y),SAY,AMASYA ÜNİVERSİTESİ,Yapay Zeka ve Makine Öğrenmesi,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Amasya,Amasya yerleşkesi ulaşımı rahat.,4,-
50,Önlisans (2Y),TYT,EGE ÜNİVERSİTESİ,Bilgisayar Programcılığı,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İzmir,İzmir yerleşkesi ulaşımı rahat.,7,-
51,Önlisans (2Y),TYT,EGE ÜNİVERSİTESİ,Ön-Yüz Yazılım Geliştirme,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İzmir,İzmir yerleşkesi ulaşımı rahat.,7,-
52,Önlisans (2Y),TYT,EGE ÜNİVERSİTESİ,Oyun Geliştirme ve Programlama,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İzmir,İzmir yerleşkesi ulaşımı rahat.,7,-
53,Önlisans (2Y),TYT,EGE ÜNİVERSİTESİ,Otonom Sistemler Teknikerliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İzmir,İzmir yerleşkesi ulaşımı rahat.,7,-
54,Önlisans (2Y),TYT,EGE ÜNİVERSİTESİ,Grafik Tasarımı,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İzmir,İzmir yerleşkesi ulaşımı rahat.,7,-
55,Önlisans (2Y),TYT,BURSA ULUDAĞ ÜNİVERSİTESİ,Anestezi,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Bursa,Bursa yerleşkesi ulaşımı rahat.,5,-
56,Önlisans (2Y),TYT,BURSA ULUDAĞ ÜNİVERSİTESİ,İlk ve Acil Yardım,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Bursa,Bursa yerleşkesi ulaşımı rahat.,5,-
57,Önlisans (2Y),TYT,BURSA ULUDAĞ ÜNİVERSİTESİ,Bilgisayar Programcılığı,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Bursa,Bursa yerleşkesi ulaşımı rahat.,5,-
58,Önlisans (2Y),TYT,BURSA ULUDAĞ ÜNİVERSİTESİ,Tıbbi Laboratuvar Teknikleri,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Bursa,Bursa yerleşkesi ulaşımı rahat.,5,-
59,Önlisans (2Y),TYT,BURSA ULUDAĞ ÜNİVERSİTESİ,Tıbbi Dokümantasyon ve Sekreterlik,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Bursa,Bursa yerleşkesi ulaşımı rahat.,5,-
60,Önlisans (2Y),TYT,BURSA ULUDAĞ ÜNİVERSİTESİ,Robotik ve Yapay Zeka,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Bursa,Bursa yerleşkesi ulaşımı rahat.,6,-
61,Önlisans (2Y),TYT,DOKUZ EYLÜL ÜNİVERSİTESİ,Anestezi,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İzmir,İzmir yerleşkesi ulaşımı rahat.,7,-
62,Önlisans (2Y),TYT,DOKUZ EYLÜL ÜNİVERSİTESİ,İlk ve Acil Yardım,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İzmir,İzmir yerleşkesi ulaşımı rahat.,7,-
63,Önlisans (2Y),TYT,DOKUZ EYLÜL ÜNİVERSİTESİ,Tıbbi Görüntüleme Teknikleri,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İzmir,İzmir yerleşkesi ulaşımı rahat.,7,-
64,Önlisans (2Y),TYT,DOKUZ EYLÜL ÜNİVERSİTESİ,Bilgisayar Programcılığı,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İzmir,İzmir yerleşkesi ulaşımı rahat.,7,-
65,Önlisans (2Y),TYT,DOKUZ EYLÜL ÜNİVERSİTESİ,Ağız ve Diş Sağlığı,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İzmir,İzmir yerleşkesi ulaşımı rahat.,7,-
66,Önlisans (2Y),TYT,DOKUZ EYLÜL ÜNİVERSİTESİ,Sivil Havacılık Kabin Hizmetleri,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İzmir,İzmir yerleşkesi ulaşımı rahat.,7,-
67,Önlisans (2Y),TYT,AKDENİZ ÜNİVERSİTESİ,İlk ve Acil Yardım,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Antalya,Antalya yerleşkesi ulaşımı rahat.,5,-
68,Önlisans (2Y),TYT,AKDENİZ ÜNİVERSİTESİ,Tıbbi Görüntüleme Teknikleri,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Antalya,Antalya yerleşkesi ulaşımı rahat.,5,-
69,Önlisans (2Y),TYT,AKDENİZ ÜNİVERSİTESİ,Fizyoterapi,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Antalya,Antalya yerleşkesi ulaşımı rahat.,5,-
70,Önlisans (2Y),TYT,AKDENİZ ÜNİVERSİTESİ,Bilgisayar Programcılığı,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Antalya,Antalya yerleşkesi ulaşımı rahat.,5,-
71,Önlisans (2Y),TYT,AKDENİZ ÜNİVERSİTESİ,Robotik ve Yapay Zeka,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Antalya,Antalya yerleşkesi ulaşımı rahat.,6,-
72,Önlisans (2Y),TYT,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,Siber Güvenlik Analistliği ve Operatörlüğü,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Eskişehir,Eskişehir yerleşkesi ulaşımı rahat.,7,-
73,Önlisans (2Y),TYT,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,Robotik ve Yapay Zeka,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Eskişehir,Eskişehir yerleşkesi ulaşımı rahat.,7,-
74,Önlisans (2Y),TYT,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,İnsansız Hava Aracı Teknolojisi ve Operatörlüğü,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Eskişehir,Eskişehir yerleşkesi ulaşımı rahat.,7,-
75,Önlisans (2Y),TYT,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,Bilgisayar Programcılığı,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Eskişehir,Eskişehir yerleşkesi ulaşımı rahat.,7,-
76,Önlisans (2Y),TYT,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,Sivil Havacılık Kabin Hizmetleri,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Eskişehir,Eskişehir yerleşkesi ulaşımı rahat.,7,-
77,Önlisans (2Y),TYT,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,Oyun Geliştirme ve Programlama,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Eskişehir,Eskişehir yerleşkesi ulaşımı rahat.,7,-
78,Önlisans (2Y),TYT,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,Bulut Bilişim Operatörlüğü,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),Eskişehir,Eskişehir yerleşkesi ulaşımı rahat.,7,-
79,Önlisans (2Y),TYT,MARMARA ÜNİVERSİTESİ,Bilgisayar Programcılığı,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,7,-
80,Önlisans (2Y),TYT,MARMARA ÜNİVERSİTESİ,Yapay Zeka Operatörlüğü,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,7,-
81,Önlisans (2Y),TYT,MARMARA ÜNİVERSİTESİ,Anestezi,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,7,-
82,Önlisans (2Y),TYT,MARMARA ÜNİVERSİTESİ,Makine,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,7,-
83,Önlisans (2Y),TYT,MARMARA ÜNİVERSİTESİ,Diş Protez Teknolojisi,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,7,-
84,Önlisans (2Y),TYT,MARMARA ÜNİVERSİTESİ,Tıbbi Görüntüleme Teknikleri,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,7,-
85,Önlisans (2Y),TYT,MARMARA ÜNİVERSİTESİ,Kontrol ve Otomasyon Teknolojisi,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,7,-
86,Önlisans (2Y),TYT,MARMARA ÜNİVERSİTESİ,Turist Rehberliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,7,-
87,Önlisans (2Y),TYT,MARMARA ÜNİVERSİTESİ,Turizm ve Otel İşletmeciliği,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,7,-
88,Önlisans (2Y),TYT,MARMARA ÜNİVERSİTESİ,Ceza İnfaz ve Güvenlik Hizmetleri,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,7,-
89,Önlisans (2Y),TYT,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,Bilgisayar Programcılığı,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,7,-
90,Önlisans (2Y),TYT,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,Tıbbi Görüntüleme Teknikleri,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,7,-
91,Önlisans (2Y),TYT,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,Sivil Havacılık Kabin Hizmetleri,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,7,-
92,Önlisans (2Y),TYT,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,Diş Protez Teknolojisi,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,7,-
93,Önlisans (2Y),TYT,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,Ağız ve Diş Sağlığı,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,7,-
94,Önlisans (2Y),TYT,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,Uçak Teknolojisi,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,7,-
95,Önlisans (2Y),TYT,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,Sanal ve Artırılmış Gerçeklik,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,7,-
96,Önlisans (2Y),TYT,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,Tıbbi Dokümantasyon ve Sekreterlik,Fakülte / Meslek Yüksekokulu,Türkçe,Devlet (Ücretsiz),İstanbul,İstanbul yerleşkesi ulaşımı rahat.,7,-
